sep=;
40028;4
0;0
50035;5
40028;4
40028;4
80056;8
10007;1
40028;4
0;0
50035;5
0;0
20014;2
80056;8
60042;6
30021;3
10007;1
130091;13
0;0
10007;1
20014;2
0;0
50035;5
10007;1
50035;5
10007;1
40028;4
10007;1
50035;5
20014;2
20014;2
40028;4
30021;3
10007;1
20014;2
30021;3
0;0
60042;6
0;0
30021;3
10007;1
20014;2
10007;1
0;0
10007;1
10007;1
10007;1
20014;2
0;0
20014;2
0;0
20014;2
30021;3
0;0
40028;4
10007;1
0;0
30021;3
30021;3
10007;1
0;0
100070;10
0;0
80056;8
40028;4
10007;1
10007;1
40028;4
10007;1
30021;3
30021;3
10007;1
0;0
0;0
0;0
50035;5
30021;3
30021;3
70049;7
0;0
20014;2
50035;5
0;0
0;0
30021;3
10007;1
50035;5
40028;4
30021;3
0;0
80056;8
10007;1
0;0
0;0
40028;4
0;0
10007;1
20014;2
0;0
40028;4
40028;4
20014;2
20014;2
30021;3
110077;11
0;0
0;0
20014;2
10007;1
20014;2
80056;8
10007;1
30021;3
30021;3
10007;1
20014;2
40028;4
40028;4
0;0
10007;1
40028;4
30021;3
70049;7
0;0
20014;2
0;0
40028;4
30021;3
0;0
0;0
0;0
10007;1
50035;5
10007;1
60042;6
20014;2
0;0
0;0
0;0
10007;1
40028;4
10007;1
30021;3
10007;1
40028;4
70049;7
0;0
30021;3
0;0
50035;5
40028;4
20014;2
30021;3
20014;2
10007;1
0;0
30021;3
0;0
30021;3
100070;10
120084;12
20014;2
10007;1
20014;2
80056;8
0;0
10007;1
30021;3
10007;1
0;0
100070;10
20014;2
0;0
10007;1
0;0
70049;7
0;0
10007;1
30021;3
0;0
10007;1
0;0
0;0
0;0
0;0
10007;1
10007;1
0;0
20014;2
20014;2
10007;1
0;0
10007;1
30021;3
0;0
30021;3
0;0
0;0
0;0
0;0
30021;3
70049;7
0;0
0;0
30021;3
30021;3
40028;4
80056;8
20014;2
30021;3
0;0
40028;4
10007;1
0;0
10007;1
90063;9
40028;4
70049;7
0;0
0;0
10007;1
40028;4
20014;2
0;0
0;0
20014;2
0;0
40028;4
20014;2
20014;2
10007;1
120084;12
30021;3
0;0
10007;1
10007;1
0;0
0;0
0;0
0;0
40028;4
10007;1
20014;2
50035;5
10007;1
10007;1
0;0
10007;1
30021;3
0;0
20014;2
10007;1
0;0
10007;1
0;0
20014;2
20014;2
0;0
50035;5
70049;7
50035;5
30021;3
20014;2
0;0
20014;2
200140;20
0;0
10007;1
40028;4
30021;3
50035;5
20014;2
30021;3
0;0
50035;5
130091;13
100070;10
160112;16
20014;2
20014;2
30021;3
10007;1
40028;4
0;0
10007;1
0;0
20014;2
100070;10
80056;8
20014;2
40028;4
10007;1
10007;1
30021;3
20014;2
100070;10
0;0
100070;10
30021;3
20014;2
0;0
0;0
0;0
20014;2
40028;4
30021;3
30021;3
90063;9
0;0
120084;12
10007;1
10007;1
20014;2
20014;2
0;0
50035;5
70049;7
60042;6
10007;1
10007;1
30021;3
10007;1
50035;5
0;0
10007;1
10007;1
20014;2
0;0
80056;8
0;0
20014;2
50035;5
0;0
40028;4
10007;1
10007;1
30021;3
0;0
70049;7
20014;2
30021;3
50035;5
30021;3
0;0
30021;3
20014;2
10007;1
80056;8
50035;5
20014;2
10007;1
60042;6
60042;6
0;0
0;0
30021;3
50035;5
0;0
10007;1
40028;4
70049;7
0;0
20014;2
0;0
0;0
0;0
50035;5
0;0
0;0
40028;4
0;0
0;0
20014;2
10007;1
20014;2
30021;3
40028;4
60042;6
0;0
0;0
10007;1
0;0
0;0
30021;3
20014;2
10007;1
90063;9
0;0
0;0
40028;4
10007;1
80056;8
40028;4
20014;2
10007;1
40028;4
10007;1
10007;1
